prospect_id,industry,business_size,region,offer_type,acquisition_channel,credit_score_band,years_in_business,mailer_sent_date,response_date,response_flag,acquisition_flag,mailing_cost_usd,estimated_monthly_charge_volume_usd,roi,cost_per_acquisition,prospect_value_tier
103237,Healthcare,Medium (50-249),West,Rewards Points 3x,Lookalike Audience,800+,15+ yrs,2024-11-24,,0,0,2.11,0.0,-1.0,,Not Acquired
103238,Real Estate,Small (10-49),Southwest,Cash Back 2%,Cold List,750-799,7-15 yrs,2024-10-24,,0,0,1.82,0.0,-1.0,,Not Acquired
103239,Real Estate,Micro (1-9),Southeast,Cash Back 2%,Cold List,700-749,3-7 yrs,2024-02-14,,0,0,1.75,0.0,-1.0,,Not Acquired
103240,Logistics,Small (10-49),Midwest,Cash Back 2%,Cold List,800+,1-3 yrs,2023-12-06,,0,0,1.83,0.0,-1.0,,Not Acquired
103241,Retail,Small (10-49),West,0% Intro APR,Partner Referral,650-699,<1 yr,2024-03-16,,0,0,2.02,0.0,-1.0,,Not Acquired
103242,Finance,Large (250+),Southwest,Rewards Points 3x,Lookalike Audience,800+,1-3 yrs,2023-04-19,,0,0,2.02,0.0,-1.0,,Not Acquired
103243,Healthcare,Large (250+),Southeast,Travel Miles 2x,Cold List,650-699,7-15 yrs,2023-01-11,,0,0,2.22,0.0,-1.0,,Not Acquired
103244,Manufacturing,Medium (50-249),Southwest,Rewards Points 3x,Cold List,800+,7-15 yrs,2023-04-11,,0,0,2.17,0.0,-1.0,,Not Acquired
103245,Logistics,Large (250+),Northeast,Rewards Points 3x,Past Inquiry,800+,1-3 yrs,2023-09-22,,0,0,2.1,0.0,-1.0,,Not Acquired
103246,Hospitality,Small (10-49),Southeast,Rewards Points 3x,Partner Referral,700-749,<1 yr,2023-08-16,,0,0,2.11,0.0,-1.0,,Not Acquired
103247,Construction,Small (10-49),West,Rewards Points 3x,Past Inquiry,650-699,<1 yr,2024-06-06,,0,0,2.11,0.0,-1.0,,Not Acquired
103248,Technology,Small (10-49),Midwest,0% Intro APR,Cold List,750-799,7-15 yrs,2024-06-15,,0,0,1.89,0.0,-1.0,,Not Acquired
103249,Healthcare,Large (250+),Midwest,Cash Back 2%,Cold List,600-649,3-7 yrs,2024-07-25,,0,0,1.73,0.0,-1.0,,Not Acquired
103250,Manufacturing,Small (10-49),West,0% Intro APR,Cold List,800+,1-3 yrs,2024-08-17,,0,0,1.98,0.0,-1.0,,Not Acquired
103251,Retail,Micro (1-9),Midwest,No Annual Fee,Lookalike Audience,600-649,7-15 yrs,2024-12-05,,0,0,1.69,0.0,-1.0,,Not Acquired
103252,Hospitality,Small (10-49),Midwest,No Annual Fee,Cold List,650-699,7-15 yrs,2024-08-12,,0,0,1.61,0.0,-1.0,,Not Acquired
103253,Retail,Micro (1-9),Northeast,0% Intro APR,Cold List,750-799,7-15 yrs,2023-08-15,2023-09-05,1,1,2.03,1134.66,10.1789,2.03,Low Value
103254,Manufacturing,Medium (50-249),Northeast,Rewards Points 3x,Cold List,750-799,<1 yr,2024-01-19,,0,0,2.15,0.0,-1.0,,Not Acquired
103255,Construction,Small (10-49),Southwest,Travel Miles 2x,Cold List,750-799,7-15 yrs,2024-02-05,,0,0,2.3,0.0,-1.0,,Not Acquired
103256,Retail,Micro (1-9),Northeast,Rewards Points 3x,Cold List,700-749,15+ yrs,2024-04-19,,0,0,2.11,0.0,-1.0,,Not Acquired
103257,Finance,Micro (1-9),Southeast,0% Intro APR,Lookalike Audience,700-749,1-3 yrs,2024-11-26,2024-12-21,1,1,2.01,628.65,5.2552,2.01,Low Value
103258,Construction,Small (10-49),Northeast,Travel Miles 2x,Cold List,750-799,3-7 yrs,2024-12-08,,0,0,2.18,0.0,-1.0,,Not Acquired
103259,Healthcare,Medium (50-249),Southwest,Travel Miles 2x,Cold List,650-699,3-7 yrs,2024-05-27,,0,0,2.27,0.0,-1.0,,Not Acquired
103260,Hospitality,Micro (1-9),Midwest,0% Intro APR,Lookalike Audience,750-799,3-7 yrs,2023-06-04,,0,0,1.94,0.0,-1.0,,Not Acquired
103261,Hospitality,Small (10-49),Midwest,0% Intro APR,Cold List,750-799,3-7 yrs,2023-12-20,,0,0,1.9,0.0,-1.0,,Not Acquired
103262,Healthcare,Micro (1-9),West,No Annual Fee,Cold List,600-649,3-7 yrs,2023-01-26,,0,0,1.62,0.0,-1.0,,Not Acquired
103263,Retail,Large (250+),Northeast,Travel Miles 2x,Cold List,800+,7-15 yrs,2024-05-09,,0,0,2.33,0.0,-1.0,,Not Acquired
103264,Logistics,Medium (50-249),West,0% Intro APR,Lookalike Audience,600-649,1-3 yrs,2023-04-18,,0,0,2.01,0.0,-1.0,,Not Acquired
103265,Technology,Medium (50-249),Southwest,0% Intro APR,Lookalike Audience,650-699,7-15 yrs,2023-10-30,,0,0,2.01,0.0,-1.0,,Not Acquired
103266,Logistics,Medium (50-249),West,No Annual Fee,Past Inquiry,600-649,7-15 yrs,2024-03-01,,0,0,1.66,0.0,-1.0,,Not Acquired
103267,Manufacturing,Small (10-49),Southeast,Travel Miles 2x,Past Inquiry,650-699,15+ yrs,2023-03-29,,0,0,2.2,0.0,-1.0,,Not Acquired
103268,Retail,Large (250+),West,Travel Miles 2x,Lookalike Audience,700-749,15+ yrs,2023-04-29,,0,0,2.25,0.0,-1.0,,Not Acquired
103269,Hospitality,Small (10-49),West,No Annual Fee,Past Inquiry,700-749,3-7 yrs,2023-05-26,,0,0,1.59,0.0,-1.0,,Not Acquired
103270,Construction,Medium (50-249),West,Travel Miles 2x,Cold List,700-749,3-7 yrs,2023-12-23,,0,0,2.15,0.0,-1.0,,Not Acquired
103271,Hospitality,Small (10-49),Southwest,No Annual Fee,Lookalike Audience,750-799,15+ yrs,2023-11-16,,0,0,1.66,0.0,-1.0,,Not Acquired
103272,Hospitality,Micro (1-9),Southeast,Cash Back 2%,Cold List,750-799,15+ yrs,2023-12-18,,0,0,1.81,0.0,-1.0,,Not Acquired
103273,Manufacturing,Micro (1-9),Southwest,Rewards Points 3x,Past Inquiry,650-699,7-15 yrs,2024-04-11,,0,0,2.16,0.0,-1.0,,Not Acquired
103274,Technology,Small (10-49),Northeast,0% Intro APR,Cold List,700-749,15+ yrs,2023-07-31,,0,0,1.92,0.0,-1.0,,Not Acquired
103275,Real Estate,Small (10-49),Southwest,Travel Miles 2x,Partner Referral,700-749,7-15 yrs,2024-06-17,,0,0,2.31,0.0,-1.0,,Not Acquired
103276,Construction,Small (10-49),Southwest,Travel Miles 2x,Lookalike Audience,700-749,3-7 yrs,2024-05-09,,0,0,2.22,0.0,-1.0,,Not Acquired
103277,Logistics,Medium (50-249),Southeast,Rewards Points 3x,Lookalike Audience,600-649,7-15 yrs,2023-12-23,,0,0,2.03,0.0,-1.0,,Not Acquired
103278,Real Estate,Micro (1-9),West,0% Intro APR,Partner Referral,750-799,7-15 yrs,2024-05-02,,0,0,1.86,0.0,-1.0,,Not Acquired
103279,Construction,Small (10-49),Northeast,Rewards Points 3x,Cold List,750-799,7-15 yrs,2023-04-10,,0,0,2.09,0.0,-1.0,,Not Acquired
103280,Logistics,Small (10-49),Southeast,No Annual Fee,Partner Referral,700-749,3-7 yrs,2024-03-24,,0,0,1.72,0.0,-1.0,,Not Acquired
103281,Real Estate,Micro (1-9),Southwest,Travel Miles 2x,Cold List,750-799,15+ yrs,2024-12-14,,0,0,2.2,0.0,-1.0,,Not Acquired
103282,Education,Small (10-49),Midwest,Travel Miles 2x,Cold List,800+,15+ yrs,2024-04-08,,0,0,2.27,0.0,-1.0,,Not Acquired
103283,Manufacturing,Small (10-49),Midwest,No Annual Fee,Past Inquiry,700-749,7-15 yrs,2023-11-23,,0,0,1.7,0.0,-1.0,,Not Acquired
103284,Finance,Micro (1-9),Southwest,No Annual Fee,Past Inquiry,750-799,7-15 yrs,2023-03-10,,0,0,1.6,0.0,-1.0,,Not Acquired
103285,Real Estate,Small (10-49),Midwest,No Annual Fee,Cold List,750-799,7-15 yrs,2023-11-04,,0,0,1.61,0.0,-1.0,,Not Acquired
103286,Healthcare,Small (10-49),Southeast,Travel Miles 2x,Partner Referral,700-749,15+ yrs,2023-02-15,,0,0,2.16,0.0,-1.0,,Not Acquired
103287,Real Estate,Large (250+),Midwest,Rewards Points 3x,Partner Referral,750-799,1-3 yrs,2024-12-28,,0,0,2.11,0.0,-1.0,,Not Acquired
103288,Hospitality,Medium (50-249),Northeast,No Annual Fee,Cold List,700-749,3-7 yrs,2023-04-28,,0,0,1.7,0.0,-1.0,,Not Acquired
103289,Manufacturing,Medium (50-249),West,0% Intro APR,Cold List,800+,1-3 yrs,2023-01-24,,0,0,1.94,0.0,-1.0,,Not Acquired
103290,Manufacturing,Large (250+),Southeast,Rewards Points 3x,Lookalike Audience,700-749,3-7 yrs,2023-12-18,,0,0,2.18,0.0,-1.0,,Not Acquired
103291,Real Estate,Medium (50-249),Southwest,0% Intro APR,Past Inquiry,650-699,15+ yrs,2024-10-25,,0,0,1.96,0.0,-1.0,,Not Acquired
103292,Manufacturing,Small (10-49),Midwest,Cash Back 2%,Lookalike Audience,800+,3-7 yrs,2023-04-22,,0,0,1.72,0.0,-1.0,,Not Acquired
103293,Construction,Medium (50-249),Southwest,Rewards Points 3x,Cold List,600-649,7-15 yrs,2024-11-24,,0,0,2.0,0.0,-1.0,,Not Acquired
103294,Real Estate,Medium (50-249),Southeast,Travel Miles 2x,Partner Referral,750-799,7-15 yrs,2023-06-18,,0,0,2.21,0.0,-1.0,,Not Acquired
103295,Manufacturing,Small (10-49),West,Travel Miles 2x,Partner Referral,700-749,7-15 yrs,2023-09-07,,0,0,2.24,0.0,-1.0,,Not Acquired
103296,Construction,Large (250+),Southeast,No Annual Fee,Cold List,750-799,15+ yrs,2024-06-12,,0,0,1.67,0.0,-1.0,,Not Acquired
103297,Logistics,Small (10-49),Northeast,No Annual Fee,Lookalike Audience,600-649,7-15 yrs,2023-06-28,,0,0,1.65,0.0,-1.0,,Not Acquired
103298,Healthcare,Micro (1-9),Northeast,Rewards Points 3x,Cold List,750-799,1-3 yrs,2024-07-19,,0,0,2.04,0.0,-1.0,,Not Acquired
103299,Education,Small (10-49),Southeast,Travel Miles 2x,Past Inquiry,750-799,7-15 yrs,2023-06-13,,0,0,2.22,0.0,-1.0,,Not Acquired
103300,Retail,Small (10-49),West,Cash Back 2%,Cold List,750-799,7-15 yrs,2023-12-05,,0,0,1.79,0.0,-1.0,,Not Acquired
103301,Education,Medium (50-249),Southeast,Travel Miles 2x,Cold List,700-749,1-3 yrs,2024-07-27,,0,0,2.32,0.0,-1.0,,Not Acquired
103302,Technology,Micro (1-9),Southeast,No Annual Fee,Past Inquiry,650-699,1-3 yrs,2024-03-12,,0,0,1.59,0.0,-1.0,,Not Acquired
103303,Construction,Medium (50-249),Midwest,Travel Miles 2x,Partner Referral,750-799,7-15 yrs,2024-04-18,,0,0,2.21,0.0,-1.0,,Not Acquired
103304,Real Estate,Small (10-49),Southeast,Rewards Points 3x,Past Inquiry,700-749,1-3 yrs,2023-08-26,,0,0,2.1,0.0,-1.0,,Not Acquired
103305,Retail,Small (10-49),Northeast,Travel Miles 2x,Cold List,800+,3-7 yrs,2024-02-19,2024-03-17,1,1,2.33,10780.67,91.5379,2.33,Mid Value
103306,Real Estate,Small (10-49),West,0% Intro APR,Lookalike Audience,600-649,<1 yr,2023-07-08,,0,0,1.98,0.0,-1.0,,Not Acquired
103307,Hospitality,Large (250+),Southwest,0% Intro APR,Cold List,700-749,3-7 yrs,2023-07-10,,0,0,1.87,0.0,-1.0,,Not Acquired
103308,Education,Medium (50-249),West,Travel Miles 2x,Cold List,750-799,3-7 yrs,2024-10-17,,0,0,2.24,0.0,-1.0,,Not Acquired
103309,Real Estate,Medium (50-249),Midwest,Travel Miles 2x,Past Inquiry,650-699,7-15 yrs,2024-11-04,,0,0,2.29,0.0,-1.0,,Not Acquired
103310,Finance,Micro (1-9),West,0% Intro APR,Cold List,600-649,15+ yrs,2024-03-18,,0,0,1.98,0.0,-1.0,,Not Acquired
103311,Healthcare,Medium (50-249),Northeast,Travel Miles 2x,Lookalike Audience,650-699,3-7 yrs,2024-02-10,,0,0,2.21,0.0,-1.0,,Not Acquired
103312,Education,Micro (1-9),Southeast,0% Intro APR,Past Inquiry,800+,1-3 yrs,2023-01-30,,0,0,1.89,0.0,-1.0,,Not Acquired
103313,Education,Small (10-49),Southeast,Cash Back 2%,Past Inquiry,800+,15+ yrs,2024-09-20,,0,0,1.8,0.0,-1.0,,Not Acquired
103314,Education,Medium (50-249),Southeast,Travel Miles 2x,Partner Referral,700-749,15+ yrs,2023-07-22,,0,0,2.2,0.0,-1.0,,Not Acquired
103315,Hospitality,Small (10-49),Southwest,No Annual Fee,Lookalike Audience,800+,7-15 yrs,2024-04-05,,0,0,1.62,0.0,-1.0,,Not Acquired
103316,Technology,Medium (50-249),Midwest,No Annual Fee,Cold List,750-799,7-15 yrs,2024-08-29,,0,0,1.58,0.0,-1.0,,Not Acquired
103317,Manufacturing,Small (10-49),Southeast,Cash Back 2%,Cold List,700-749,15+ yrs,2024-03-15,,0,0,1.89,0.0,-1.0,,Not Acquired
103318,Logistics,Small (10-49),Southeast,Travel Miles 2x,Past Inquiry,800+,<1 yr,2024-02-03,,0,0,2.28,0.0,-1.0,,Not Acquired
103319,Technology,Small (10-49),Southwest,0% Intro APR,Partner Referral,700-749,3-7 yrs,2023-01-05,,0,0,2.01,0.0,-1.0,,Not Acquired
103320,Logistics,Small (10-49),Northeast,Rewards Points 3x,Partner Referral,650-699,15+ yrs,2024-12-22,,0,0,2.16,0.0,-1.0,,Not Acquired
103321,Logistics,Micro (1-9),Southwest,0% Intro APR,Cold List,800+,<1 yr,2023-08-08,,0,0,2.01,0.0,-1.0,,Not Acquired
103322,Real Estate,Small (10-49),Midwest,Travel Miles 2x,Past Inquiry,700-749,15+ yrs,2023-07-30,,0,0,2.17,0.0,-1.0,,Not Acquired
103323,Retail,Medium (50-249),Southeast,Cash Back 2%,Past Inquiry,700-749,<1 yr,2023-10-13,,0,0,1.88,0.0,-1.0,,Not Acquired
103324,Retail,Medium (50-249),West,Travel Miles 2x,Past Inquiry,700-749,<1 yr,2024-12-21,,0,0,2.18,0.0,-1.0,,Not Acquired
103325,Healthcare,Large (250+),Midwest,Rewards Points 3x,Lookalike Audience,750-799,7-15 yrs,2023-03-06,,0,0,2.04,0.0,-1.0,,Not Acquired
103326,Retail,Micro (1-9),Midwest,No Annual Fee,Partner Referral,750-799,7-15 yrs,2024-08-14,,0,0,1.69,0.0,-1.0,,Not Acquired
103327,Manufacturing,Small (10-49),Southeast,Travel Miles 2x,Cold List,750-799,15+ yrs,2023-04-15,,0,0,2.32,0.0,-1.0,,Not Acquired
103328,Education,Micro (1-9),West,Cash Back 2%,Lookalike Audience,650-699,15+ yrs,2024-07-03,,0,0,1.76,0.0,-1.0,,Not Acquired
103329,Hospitality,Small (10-49),Northeast,Cash Back 2%,Past Inquiry,700-749,7-15 yrs,2023-07-11,,0,0,1.87,0.0,-1.0,,Not Acquired
103330,Retail,Small (10-49),West,Cash Back 2%,Cold List,750-799,7-15 yrs,2024-01-10,,0,0,1.73,0.0,-1.0,,Not Acquired
103331,Manufacturing,Medium (50-249),Midwest,Rewards Points 3x,Past Inquiry,700-749,1-3 yrs,2023-11-30,,0,0,2.12,0.0,-1.0,,Not Acquired
103332,Healthcare,Small (10-49),Southwest,No Annual Fee,Lookalike Audience,700-749,3-7 yrs,2023-07-21,,0,0,1.7,0.0,-1.0,,Not Acquired
103333,Real Estate,Micro (1-9),West,0% Intro APR,Lookalike Audience,650-699,15+ yrs,2024-04-13,,0,0,2.02,0.0,-1.0,,Not Acquired
103334,Manufacturing,Micro (1-9),Midwest,Travel Miles 2x,Cold List,650-699,3-7 yrs,2023-04-27,,0,0,2.15,0.0,-1.0,,Not Acquired
103335,Construction,Small (10-49),Midwest,Travel Miles 2x,Past Inquiry,750-799,15+ yrs,2023-09-26,,0,0,2.19,0.0,-1.0,,Not Acquired
103336,Real Estate,Medium (50-249),Southwest,Travel Miles 2x,Cold List,700-749,7-15 yrs,2024-11-17,,0,0,2.35,0.0,-1.0,,Not Acquired
103337,Finance,Small (10-49),Southeast,Cash Back 2%,Cold List,650-699,7-15 yrs,2024-05-16,,0,0,1.76,0.0,-1.0,,Not Acquired
103338,Education,Medium (50-249),Southeast,No Annual Fee,Past Inquiry,750-799,1-3 yrs,2024-06-24,,0,0,1.71,0.0,-1.0,,Not Acquired
103339,Manufacturing,Medium (50-249),Southwest,0% Intro APR,Past Inquiry,700-749,3-7 yrs,2024-10-16,,0,0,1.93,0.0,-1.0,,Not Acquired
103340,Real Estate,Small (10-49),Southeast,Travel Miles 2x,Lookalike Audience,650-699,3-7 yrs,2023-11-17,,0,0,2.24,0.0,-1.0,,Not Acquired
103341,Hospitality,Micro (1-9),Northeast,No Annual Fee,Lookalike Audience,700-749,7-15 yrs,2024-09-03,,0,0,1.67,0.0,-1.0,,Not Acquired
103342,Logistics,Small (10-49),Southwest,Rewards Points 3x,Cold List,800+,15+ yrs,2024-02-02,,0,0,2.18,0.0,-1.0,,Not Acquired
103343,Real Estate,Medium (50-249),Northeast,0% Intro APR,Partner Referral,600-649,1-3 yrs,2024-09-17,,0,0,2.03,0.0,-1.0,,Not Acquired
103344,Manufacturing,Micro (1-9),Southeast,No Annual Fee,Past Inquiry,750-799,7-15 yrs,2024-02-06,,0,0,1.65,0.0,-1.0,,Not Acquired
103345,Finance,Micro (1-9),Southwest,Rewards Points 3x,Cold List,750-799,15+ yrs,2024-08-24,,0,0,2.02,0.0,-1.0,,Not Acquired
103346,Construction,Small (10-49),Midwest,No Annual Fee,Cold List,700-749,3-7 yrs,2023-04-27,,0,0,1.6,0.0,-1.0,,Not Acquired
103347,Manufacturing,Large (250+),Southwest,Rewards Points 3x,Partner Referral,650-699,7-15 yrs,2023-12-23,,0,0,2.04,0.0,-1.0,,Not Acquired
103348,Manufacturing,Micro (1-9),West,Cash Back 2%,Cold List,650-699,3-7 yrs,2023-12-27,,0,0,1.86,0.0,-1.0,,Not Acquired
103349,Healthcare,Medium (50-249),West,Rewards Points 3x,Lookalike Audience,700-749,3-7 yrs,2024-04-13,,0,0,2.11,0.0,-1.0,,Not Acquired
103350,Hospitality,Micro (1-9),Midwest,0% Intro APR,Partner Referral,700-749,3-7 yrs,2024-09-24,,0,0,1.93,0.0,-1.0,,Not Acquired
103351,Real Estate,Medium (50-249),Northeast,Cash Back 2%,Partner Referral,750-799,15+ yrs,2023-06-26,,0,0,1.84,0.0,-1.0,,Not Acquired
103352,Technology,Medium (50-249),Northeast,Rewards Points 3x,Cold List,700-749,3-7 yrs,2024-11-20,,0,0,2.11,0.0,-1.0,,Not Acquired
103353,Finance,Micro (1-9),Midwest,0% Intro APR,Lookalike Audience,650-699,3-7 yrs,2024-12-23,,0,0,1.93,0.0,-1.0,,Not Acquired
103354,Construction,Large (250+),West,Cash Back 2%,Cold List,750-799,3-7 yrs,2023-11-01,,0,0,1.75,0.0,-1.0,,Not Acquired
103355,Construction,Medium (50-249),Northeast,Travel Miles 2x,Past Inquiry,800+,15+ yrs,2024-09-21,,0,0,2.33,0.0,-1.0,,Not Acquired
103356,Retail,Micro (1-9),Northeast,No Annual Fee,Cold List,750-799,1-3 yrs,2024-08-27,,0,0,1.67,0.0,-1.0,,Not Acquired
103357,Technology,Medium (50-249),West,Rewards Points 3x,Lookalike Audience,800+,15+ yrs,2023-03-28,,0,0,2.2,0.0,-1.0,,Not Acquired
103358,Retail,Micro (1-9),Southeast,Cash Back 2%,Past Inquiry,750-799,7-15 yrs,2024-11-19,,0,0,1.84,0.0,-1.0,,Not Acquired
103359,Construction,Small (10-49),Northeast,No Annual Fee,Cold List,700-749,1-3 yrs,2023-05-18,,0,0,1.71,0.0,-1.0,,Not Acquired
103360,Logistics,Small (10-49),Southwest,Rewards Points 3x,Cold List,800+,3-7 yrs,2023-11-17,,0,0,2.09,0.0,-1.0,,Not Acquired
103361,Logistics,Small (10-49),Midwest,Travel Miles 2x,Lookalike Audience,600-649,15+ yrs,2023-05-01,,0,0,2.34,0.0,-1.0,,Not Acquired
103362,Logistics,Small (10-49),West,Travel Miles 2x,Cold List,750-799,7-15 yrs,2023-09-02,,0,0,2.3,0.0,-1.0,,Not Acquired
103363,Healthcare,Large (250+),West,No Annual Fee,Cold List,700-749,3-7 yrs,2023-11-09,,0,0,1.65,0.0,-1.0,,Not Acquired
103364,Retail,Medium (50-249),Southwest,Travel Miles 2x,Lookalike Audience,700-749,<1 yr,2023-04-30,,0,0,2.36,0.0,-1.0,,Not Acquired
103365,Logistics,Micro (1-9),Northeast,Cash Back 2%,Past Inquiry,800+,1-3 yrs,2023-07-07,,0,0,1.87,0.0,-1.0,,Not Acquired
103366,Logistics,Micro (1-9),West,Rewards Points 3x,Cold List,700-749,<1 yr,2024-01-18,,0,0,2.05,0.0,-1.0,,Not Acquired
103367,Technology,Small (10-49),West,Cash Back 2%,Cold List,800+,3-7 yrs,2024-12-11,,0,0,1.73,0.0,-1.0,,Not Acquired
103368,Healthcare,Medium (50-249),Midwest,No Annual Fee,Cold List,650-699,7-15 yrs,2023-05-25,,0,0,1.69,0.0,-1.0,,Not Acquired
103369,Construction,Small (10-49),Southeast,0% Intro APR,Lookalike Audience,700-749,3-7 yrs,2024-06-07,,0,0,1.94,0.0,-1.0,,Not Acquired
103370,Logistics,Small (10-49),Midwest,0% Intro APR,Lookalike Audience,750-799,1-3 yrs,2024-02-02,,0,0,1.96,0.0,-1.0,,Not Acquired
103371,Construction,Micro (1-9),Southwest,Rewards Points 3x,Partner Referral,700-749,3-7 yrs,2024-03-04,,0,0,2.19,0.0,-1.0,,Not Acquired
103372,Hospitality,Small (10-49),Southwest,0% Intro APR,Lookalike Audience,650-699,3-7 yrs,2024-09-02,,0,0,1.89,0.0,-1.0,,Not Acquired
103373,Retail,Large (250+),Northeast,No Annual Fee,Lookalike Audience,750-799,1-3 yrs,2023-05-22,,0,0,1.68,0.0,-1.0,,Not Acquired
103374,Hospitality,Small (10-49),Northeast,Rewards Points 3x,Cold List,700-749,7-15 yrs,2024-08-11,,0,0,2.18,0.0,-1.0,,Not Acquired
103375,Hospitality,Medium (50-249),Southwest,Travel Miles 2x,Past Inquiry,650-699,7-15 yrs,2024-01-28,2024-02-17,1,1,2.27,17877.27,156.509,2.27,Mid Value
103376,Hospitality,Small (10-49),Southwest,Cash Back 2%,Lookalike Audience,700-749,3-7 yrs,2023-07-10,,0,0,1.86,0.0,-1.0,,Not Acquired
103377,Real Estate,Medium (50-249),Southwest,Cash Back 2%,Partner Referral,750-799,3-7 yrs,2024-05-13,,0,0,1.79,0.0,-1.0,,Not Acquired
103378,Hospitality,Medium (50-249),Southwest,No Annual Fee,Partner Referral,750-799,<1 yr,2024-10-12,,0,0,1.72,0.0,-1.0,,Not Acquired
103379,Retail,Micro (1-9),Southeast,Travel Miles 2x,Partner Referral,750-799,15+ yrs,2024-07-04,,0,0,2.36,0.0,-1.0,,Not Acquired
103380,Hospitality,Medium (50-249),Southwest,0% Intro APR,Past Inquiry,650-699,3-7 yrs,2024-12-11,,0,0,1.91,0.0,-1.0,,Not Acquired
103381,Hospitality,Small (10-49),Midwest,Rewards Points 3x,Past Inquiry,600-649,<1 yr,2024-10-22,,0,0,2.05,0.0,-1.0,,Not Acquired
103382,Manufacturing,Small (10-49),Southwest,Travel Miles 2x,Partner Referral,750-799,<1 yr,2023-06-27,,0,0,2.3,0.0,-1.0,,Not Acquired
103383,Healthcare,Small (10-49),Midwest,Travel Miles 2x,Cold List,800+,3-7 yrs,2024-07-22,,0,0,2.32,0.0,-1.0,,Not Acquired
103384,Technology,Medium (50-249),Southwest,Travel Miles 2x,Past Inquiry,800+,3-7 yrs,2023-06-20,,0,0,2.33,0.0,-1.0,,Not Acquired
103385,Technology,Micro (1-9),Northeast,0% Intro APR,Lookalike Audience,700-749,7-15 yrs,2024-05-16,,0,0,1.95,0.0,-1.0,,Not Acquired
103386,Manufacturing,Medium (50-249),Northeast,Rewards Points 3x,Partner Referral,750-799,7-15 yrs,2023-10-23,,0,0,2.19,0.0,-1.0,,Not Acquired
103387,Manufacturing,Small (10-49),Midwest,No Annual Fee,Cold List,700-749,15+ yrs,2023-05-24,,0,0,1.57,0.0,-1.0,,Not Acquired
103388,Real Estate,Small (10-49),Northeast,Travel Miles 2x,Cold List,800+,3-7 yrs,2023-07-11,,0,0,2.24,0.0,-1.0,,Not Acquired
103389,Technology,Micro (1-9),Northeast,Cash Back 2%,Cold List,600-649,7-15 yrs,2023-11-19,,0,0,1.87,0.0,-1.0,,Not Acquired
103390,Logistics,Micro (1-9),West,Rewards Points 3x,Partner Referral,700-749,7-15 yrs,2024-04-06,,0,0,2.12,0.0,-1.0,,Not Acquired
103391,Retail,Large (250+),Northeast,Travel Miles 2x,Lookalike Audience,700-749,1-3 yrs,2024-09-26,,0,0,2.17,0.0,-1.0,,Not Acquired
103392,Retail,Micro (1-9),Southeast,Travel Miles 2x,Cold List,800+,3-7 yrs,2023-02-24,,0,0,2.2,0.0,-1.0,,Not Acquired
103393,Manufacturing,Micro (1-9),Southwest,No Annual Fee,Lookalike Audience,750-799,1-3 yrs,2024-01-03,,0,0,1.72,0.0,-1.0,,Not Acquired
103394,Healthcare,Small (10-49),Midwest,Travel Miles 2x,Cold List,800+,1-3 yrs,2023-01-10,,0,0,2.24,0.0,-1.0,,Not Acquired
103395,Technology,Small (10-49),West,No Annual Fee,Lookalike Audience,600-649,7-15 yrs,2024-05-11,,0,0,1.61,0.0,-1.0,,Not Acquired
103396,Education,Large (250+),West,0% Intro APR,Past Inquiry,750-799,1-3 yrs,2023-05-20,,0,0,2.0,0.0,-1.0,,Not Acquired
103397,Technology,Small (10-49),Southwest,Cash Back 2%,Past Inquiry,800+,3-7 yrs,2023-07-19,,0,0,1.86,0.0,-1.0,,Not Acquired
103398,Education,Micro (1-9),Midwest,No Annual Fee,Partner Referral,650-699,1-3 yrs,2024-01-29,,0,0,1.7,0.0,-1.0,,Not Acquired
103399,Real Estate,Medium (50-249),Southwest,Travel Miles 2x,Cold List,750-799,3-7 yrs,2024-07-29,,0,0,2.15,0.0,-1.0,,Not Acquired
103400,Technology,Micro (1-9),Midwest,0% Intro APR,Lookalike Audience,600-649,3-7 yrs,2024-06-01,,0,0,1.99,0.0,-1.0,,Not Acquired
103401,Manufacturing,Micro (1-9),Northeast,Travel Miles 2x,Past Inquiry,750-799,3-7 yrs,2024-10-30,,0,0,2.24,0.0,-1.0,,Not Acquired
103402,Manufacturing,Micro (1-9),Midwest,Rewards Points 3x,Past Inquiry,800+,3-7 yrs,2024-05-21,,0,0,2.17,0.0,-1.0,,Not Acquired
103403,Finance,Large (250+),Northeast,Rewards Points 3x,Partner Referral,800+,3-7 yrs,2024-02-23,,0,0,2.2,0.0,-1.0,,Not Acquired
103404,Construction,Medium (50-249),Northeast,0% Intro APR,Lookalike Audience,750-799,15+ yrs,2024-12-02,,0,0,1.87,0.0,-1.0,,Not Acquired
103405,Education,Medium (50-249),Southeast,Travel Miles 2x,Past Inquiry,650-699,3-7 yrs,2024-05-18,,0,0,2.21,0.0,-1.0,,Not Acquired
103406,Retail,Micro (1-9),Southeast,Cash Back 2%,Cold List,650-699,1-3 yrs,2024-03-01,,0,0,1.75,0.0,-1.0,,Not Acquired
103407,Education,Small (10-49),West,No Annual Fee,Lookalike Audience,750-799,15+ yrs,2024-12-28,,0,0,1.6,0.0,-1.0,,Not Acquired
103408,Manufacturing,Micro (1-9),Midwest,No Annual Fee,Cold List,700-749,7-15 yrs,2024-03-30,,0,0,1.67,0.0,-1.0,,Not Acquired
